Collection Name,Movies,Year,Style,Movie Type
Conjuring Universe,,,,
,The Conjuring,2013,Live-Action,Original
,Annabelle,2014,Live-Action,Original
,The Conjuring 2,2016,Live-Action,Sequel
,Annabelle: Creation,2017,Live-Action,Sequel
,The Nun,2018,Live-Action,Original
,Annabelle Comes Home,2019,Live-Action,Sequel
,The Curse of La Llorona,2019,Live-Action,Original
,The Conjuring 3,2020,Live-Action,Sequel
,The Crooked Man,TBA,Live-Action,Original
Crank,,,,
,Crank,2006,Live-Action,Original
,Crank: High Voltage,2009,Live-Action,Sequel
Creed,,,,
,Creed,2015,Live-Action,Original
,Creed II,2018,Live-Action,Sequel
Creepshow,,,,
,Creepshow,1982,Live-Action,Original
,Creepshow 2,1987,Live-Action,Sequel
,Creepshow 3,2006,Live-Action,Sequel
Crocodile Dundee,,,,
,Crocodile Dundee,1986,Live-Action,Original
,Crocodile Dundee II,1988,Live-Action,Sequel
,Crocodile Dundee in Los Angeles,2001,Live-Action,Sequel
The Croods,,,,
,The Croods,2013,Animated,Original
,The Croods 2,2020,Animated,Sequel
The Crow,,,,
,The Crow,1994,Live-Action,Original
,The Crow: City of Angels,1996,Live-Action,Sequel
,The Crow: Salvation,2000,Live-Action,Sequel
,The Crow: Wicked Prayer,2005,Live-Action,Sequel
D,,,,
DC Extended Universe,,,,
,Man of Steel,2013,Live-Action,Original
,Batman v Superman: Dawn of Justice,2016,Live-Action,Original
,Suicide Squad,2016,Live-Action,Original
,Justice League,2017,Live-Action,Original
,Wonder Woman,2017,Live-Action,Original
,Aquaman,2018,Live-Action,Original
,Joker,2019,Live-Action,Original
,Shazam!,2019,Live-Action,Original
,Birds of Prey,2020,Live-Action,Original
,The Flash,2020,Live-Action,Original
,Wonder Woman 1984,2020,Live-Action,Original
,The Batman,2021,Live-Action,Original
Daddy's Home,,,,
,Daddy's Home,2015,Live-Action,Original
,Daddy's Home 2,2017,Live-Action,Sequel
The Dark Knight,,,,
,Batman Begins,2005,Live-Action,Original
,The Dark Knight,2008,Live-Action,Sequel
,The Dark Knight Rises,2012,Live-Action,Sequel
Deadpool,,,,
,Deadpool,2016,Live-Action,Original
,Deadpool 2,2018,Live-Action,Sequel
,Once Upon A Deadpool,2018,Live-Action,Spin-Off
Death Wish,,,,
,Death Wish,1974,Live-Action,Original
,Death Wish II,1982,Live-Action,Sequel
,Death Wish 3,1985,Live-Action,Sequel
,Death Wish 4: The Crackdown,1987,Live-Action,Sequel
,Death Wish V: The Face of Death,1994,Live-Action,Sequel
,Death Wish,2018,Live-Action,Remake
Delta Force,,,,
,The Delta Force,1986,Live-Action,Original
,Delta Force 2: The Colombian Connection,1990,Live-Action,Sequel
,Delta Force 3: The Killing Game,1991,Live-Action,Sequel
Descendants,,,,
,Descendants,2015,Live-Action,Original
,Descendants 2,2017,Live-Action,Sequel
,Descendants 3,2019,Live-Action,Sequel
Despicable Me,,,,
,Despicable Me,2010,Animated,Original
,Despicable Me 2,2013,Animated,Sequel
,Minions,2015,Animated,Spin-Off
,Despicable Me 3,2017,Animated,Sequel
,Minions: The Rise of Gru,2020,Animated,Spin-Off
Diary of a Wimpy Kid,,,,
,Diary of a Wimpy Kid,2010,Live-Action,Original
,Diary of a Wimpy Kid: Rodrick Rules,2011,Live-Action,Sequel
,Diary of a Wimpy Kid: Dog Days,2012,Live-Action,Sequel
,Diary of a Wimpy Kid: The Long Haul,2017,Live-Action,Sequel
Die Hard,,,,
,Die Hard,1988,Live-Action,Original
,Die Hard 2,1990,Live-Action,Sequel
,Die Hard with a Vengeance,1995,Live-Action,Sequel
,Live Free or Die Hard,2007,Live-Action,Sequel
,A Good Day to Die Hard,2013,Live-Action,Sequel
Dirk Pitt,,,,
,Raise the Titanic,1980,Live-Action,Original
,Sahara,2005,Live-Action,Original
Dirty Harry,,,,
,Dirty Harry,1971,Live-Action,Original
,Magnum Force,1973,Live-Action,Sequel
,The Enforcer,1976,Live-Action,Sequel
,Sudden Impact,1983,Live-Action,Sequel
,The Dead Pool,1988,Live-Action,Sequel
Divergent,,,,
,Divergent,2014,Live-Action,Original
,Insurgent,2015,Live-Action,Sequel
,Allegiant,2016,Live-Action,Sequel
Doctor Strange,,,,
,Doctor Strange,2016,Live-Action,Original
,Doctor Strange in the Multiverse of Madness,2021,Live-Action,Sequel
Dr. Dolittle,,,,
,Dr. Dolittle,1998,Live-Action,Original
,Dr. Dolittle 2,2001,Live-Action,Sequel
,Dr. Dolittle 3,2006,Live-Action,Sequel
,Dr. Dolittle: Tail to the Chief,2008,Live-Action,Sequel
,Dr. Dolittle: Million Dollar Mutts,2009,Live-Action,Sequel
Dragonheart,,,,
,Dragonheart,1996,Both,Original
,Dragonheart: A New Beginning,2000,Both,Sequel
,Dragonheart 3: The Sorcerer's Curse,2015,Both,Sequel
The Dukes of Hazzard,,,,
,The Dukes of Hazzard,2005,Live-Action,Original
,The Dukes of Hazzard: The Beginning,2007,Live-Action,Prequel
Dumb & Dumber,,,,
,Dumb and Dumber,1994,Live-Action,Original
,Dumb and Dumberer: When Harry Met Lloyd,2003,Live-Action,Prequel
,Dumb and Dumber To,2014,Live-Action,Sequel
Dumbo,,,,
,Dumbo,1941,Animated,Original
,Dumbo,2019,Live-Action,Remake
E,,,,
The Emperor's New Groove,,,,
,The Emperor's New Groove,2000,Animated,Original
,Kronk's New Groove,2005,Animated,Sequel
